City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
0,San Andres,CO,12.58,-81.7,78.8,88,75,14.99,light intensity drizzle,0.0,0
1,Cape Town,ZA,-33.93,18.42,66.0,45,0,16.11,clear sky,0.0,0
2,Kruisfontein,ZA,-34.0,24.73,65.34,27,0,9.73,clear sky,0.0,0
3,Vestmannaeyjar,IS,63.44,-20.27,51.8,87,90,8.05,drizzle,0.0,0
4,Ushuaia,AR,-54.8,-68.3,35.6,80,75,18.34,shower rain,0.0,0
5,Bredasdorp,ZA,-34.53,20.04,66.2,37,0,12.75,clear sky,0.0,0
6,Severo-Kurilsk,RU,50.68,156.12,49.33,91,100,8.41,overcast clouds,0.0,0
7,Kulhudhuffushi,MV,6.62,73.07,84.22,66,100,2.89,overcast clouds,0.0,0
8,Port Alfred,ZA,-33.59,26.89,65.37,35,0,12.71,clear sky,0.0,0
9,Hobart,AU,-42.88,147.33,39.0,93,20,4.7,light rain,0.25,0
10,Danville,US,36.59,-79.39,77.0,73,1,4.7,clear sky,0.0,0
11,Opobo,US,36.59,-79.39,77.0,73,1,4.7,clear sky,0.0,0
12,Punta Arenas,CL,-53.15,-70.92,32.0,87,20,5.82,few clouds,0.0,0
13,Mataura,NZ,-46.19,168.86,39.0,83,58,3.0,broken clouds,0.0,0
14,Amderma,NZ,-46.19,168.86,39.0,83,58,3.0,broken clouds,0.0,0
15,Longyearbyen,SJ,78.22,15.64,48.2,76,75,6.93,broken clouds,0.0,0
16,Qaanaaq,GL,77.48,-69.36,45.93,59,95,0.96,overcast clouds,0.0,0
17,Rikitea,PF,-23.12,-134.97,70.77,72,0,18.32,clear sky,0.0,0
18,Leeton,AU,-34.57,146.4,37.4,100,75,3.78,broken clouds,0.0,0
19,La Union,PE,-5.4,-80.75,68.68,68,1,8.97,clear sky,0.0,0
20,Narsaq,GL,60.92,-46.05,55.4,71,98,4.7,overcast clouds,0.0,0
21,Jamestown,US,42.1,-79.24,69.8,73,1,6.02,clear sky,0.0,0
22,Taolanaro,US,42.1,-79.24,69.8,73,1,6.02,clear sky,0.0,0
23,Chokurdakh,RU,70.63,147.92,54.97,67,57,11.25,broken clouds,0.0,0
24,San Cristobal,VE,7.77,-72.22,78.8,74,40,2.24,scattered clouds,0.0,0
25,Yashkino,RU,55.87,85.43,73.4,64,20,4.47,few clouds,0.0,0
26,Alice Springs,AU,-23.7,133.88,41.0,52,0,3.36,clear sky,0.0,0
27,San Patricio,MX,19.22,-104.7,77.0,83,75,6.93,broken clouds,0.0,0
28,Lagoa,PT,39.05,-27.98,68.31,79,0,16.91,clear sky,0.0,0
29,Sur,OM,22.57,59.53,91.53,57,88,7.27,overcast clouds,0.0,0
30,Banjar,ID,-8.19,114.97,78.8,100,40,10.29,scattered clouds,0.0,0
31,Hilo,US,19.73,-155.09,75.2,73,90,3.36,overcast clouds,0.0,0
32,Yellowknife,CA,62.46,-114.35,62.01,87,40,4.7,scattered clouds,0.0,0
33,Lebu,CL,-37.62,-73.65,48.78,94,100,3.29,light rain,0.18,0
34,Cayenne,GF,4.93,-52.33,82.4,83,75,3.36,broken clouds,0.0,0
35,Ngunguru,NZ,-35.62,174.5,52.0,3,12,4.0,few clouds,0.0,0
36,Pangody,RU,65.85,74.49,66.2,52,71,6.22,broken clouds,0.0,0
37,Bengkulu,ID,-3.8,102.27,77.56,89,100,3.87,overcast clouds,0.0,0
38,Busselton,AU,-33.65,115.33,57.0,69,100,18.61,light rain,0.44,0
39,Vaini,TO,-21.2,-175.2,71.6,78,40,11.41,scattered clouds,0.0,0
