City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,San Andres,CO,78.8,light intensity drizzle,12.58,-81.7,Hotel Arena Blanca
7,Kulhudhuffushi,MV,84.22,overcast clouds,6.62,73.07,Haajy Guest House 1
10,Danville,US,77.0,clear sky,36.59,-79.39,Holiday Inn Express Danville
11,Opobo,US,77.0,clear sky,36.59,-79.39,Holiday Inn Express Danville
17,Rikitea,PF,70.77,clear sky,-23.12,-134.97,Pension Maro'i
24,San Cristobal,VE,78.8,scattered clouds,7.77,-72.22,Pirineos
25,Yashkino,RU,73.4,few clouds,55.87,85.43,"Gostinitsa ""Berozka"""
27,San Patricio,MX,77.0,broken clouds,19.22,-104.7,Hotel Cabo Blanco
30,Banjar,ID,78.8,scattered clouds,-8.19,114.97,The Hamsa Resort
31,Hilo,US,75.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
34,Cayenne,GF,82.4,broken clouds,4.93,-52.33,Hôtel Le Dronmi
37,Bengkulu,ID,77.56,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
39,Vaini,TO,71.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
45,Guerrero Negro,MX,72.93,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
46,Katsuura,JP,72.0,light intensity shower rain,35.13,140.3,Katsuura Hotel Mikazuki
47,Camacha,PT,73.4,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
50,Hithadhoo,MV,85.19,broken clouds,-0.6,73.08,Scoop Guest House
52,Jonesboro,US,82.99,clear sky,35.84,-90.7,Hilton Garden Inn Jonesboro
56,Ciamis,ID,73.35,overcast clouds,-7.33,108.35,The Priangan Boutique Hotel @ Yos Sudarso
57,Ahuimanu,US,78.8,few clouds,21.44,-157.84,Paradise Bay Resort
58,Ribeira Grande,PT,73.4,scattered clouds,38.52,-28.7,Quinta da Meia Eira
64,Wattegama,LK,87.8,broken clouds,6.8,81.48,
70,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
71,Tsihombe,MY,84.2,few clouds,5.41,100.34,Cititel Penang
72,Bolungarvik,MY,84.2,few clouds,5.41,100.34,Cititel Penang
75,Methoni,GR,86.0,few clouds,36.82,21.7,Methoni Beach Hotel
77,Kapaa,US,78.8,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
90,Dingle,PH,78.35,overcast clouds,11.0,122.67,Camp Pasica
92,Mahebourg,MU,75.2,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
93,Albany,US,77.0,scattered clouds,42.6,-73.97,
94,Bambous Virieux,MU,75.2,scattered clouds,-20.34,57.76,Casa Tia Villa
96,Los Llanos De Aridane,ES,77.0,few clouds,28.66,-17.92,Valle Aridane
99,Baculin,PH,79.21,overcast clouds,7.45,126.58,Shovy's Cove
100,Saint George,US,79.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
101,Sinkat,US,79.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
102,Sofiysk,US,79.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
103,Brigantine,US,82.4,clear sky,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
105,Aviles,ES,75.0,few clouds,43.55,-5.92,Hotel NH Collection Palacio de Avilés
106,Alofi,NU,71.6,overcast clouds,-19.06,-169.92,Taloa Heights
110,Shelburne,CA,71.6,broken clouds,44.08,-80.2,The Retreat at the Farm
117,Mogadishu,SO,80.6,drizzle,2.04,45.34,Hotel Juba
118,Natchez,US,82.4,clear sky,31.56,-91.4,Hampton Inn & Suites Natchez
123,Salalah,OM,84.2,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
125,Mocuba,MZ,79.59,clear sky,-16.84,36.99,Phama Lodge
126,Kamenskoye,MZ,79.59,clear sky,-16.84,36.99,Phama Lodge
127,Kuche,MZ,79.59,clear sky,-16.84,36.99,Phama Lodge
129,Apodi,BR,86.7,scattered clouds,-5.66,-37.8,Churrascaria e pousada
130,Arraial Do Cabo,BR,80.6,broken clouds,-22.97,-42.03,Pousada Porto Praia
145,Janakpur Road,GY,82.44,light rain,8.2,-59.78,
151,Lubango,AO,78.8,clear sky,-14.92,13.49,Hotel Serra da Chela
152,Vila Do Maio,CV,82.4,broken clouds,15.13,-23.22,Residence 'I Delfini'
162,Veraval,IN,84.56,clear sky,20.9,70.37,Lords Inn Somnath
164,Sao Filipe,CV,74.64,scattered clouds,14.9,-24.5,Tortuga B&B
165,Key Largo,US,84.99,overcast clouds,25.09,-80.45,Bayside Inn Key Largo
171,Minyar,RU,79.95,clear sky,55.07,57.55,Semigor'ye
172,Mrirt,RU,79.95,clear sky,55.07,57.55,Semigor'ye
178,Anito,PH,79.99,overcast clouds,12.45,125.29,The Yellow House
180,Anton Lizardo,MX,78.01,few clouds,19.05,-95.98,Hotel CocoAventura
181,Menongue,AO,85.06,clear sky,-14.66,17.69,Ritz Lauca
182,Grand Gaube,MU,73.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
184,Greenwood,US,80.01,clear sky,34.17,-82.12,Quality Inn Greenwood Hwy 25
187,Hirara,JP,85.64,clear sky,24.8,125.28,Hotel Atoll Emerald Miyakojima
193,Isangel,VU,71.6,few clouds,-19.55,169.27,Volcano Sea View Tree House
198,Merke,KZ,80.37,scattered clouds,42.87,73.18,Gostinitsa
202,Hamilton,US,72.0,broken clouds,39.18,-84.53,Six Acres Bed & Breakfast
205,Ambilobe,MG,79.3,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
211,Keokuk,US,70.0,clear sky,40.4,-91.38,Hampton Inn Keokuk
214,Auki,SB,79.23,overcast clouds,-8.77,160.7,Auki Motel
215,Novosergiyevka,RU,79.99,scattered clouds,52.09,53.65,Gostinnitsa Edem
216,Freudenstadt,DE,71.01,clear sky,48.43,8.42,Hotel Langenwaldsee
217,Sorong,ID,77.94,overcast clouds,-0.88,131.25,The Waigo Hotel
220,Windhoek,,71.01,clear sky,-22.56,17.08,Hotel Uhland
221,Castro,BR,70.03,clear sky,-24.79,-50.01,CHACARA BAILLY
224,Gidam,IN,79.36,overcast clouds,18.98,81.4,Dhanshree Lodge And DormItory
225,Bethel,US,75.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
226,Mahibadhoo,MV,84.47,overcast clouds,3.78,72.97,Omadhoo Inn
227,Attawapiskat,MV,84.47,overcast clouds,3.78,72.97,Omadhoo Inn
228,Caravelas,BR,79.74,clear sky,-17.71,-39.25,Pousada dos Navegantes
232,Porto Novo,BJ,80.6,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
233,Shasta Lake,US,73.0,clear sky,40.68,-122.37,Shasta Dam Motel
234,Barra Patuca,HN,82.42,overcast clouds,15.8,-84.28,
239,Souillac,MU,75.2,scattered clouds,-20.52,57.52,Bils' Villa
241,Meiktila,MM,80.87,overcast clouds,20.87,95.87,The Floral Breeze Wunzin Hotel
245,Meulaboh,ID,78.26,overcast clouds,4.14,96.13,Kost Pria
247,Huicheng,CN,87.8,clear sky,23.04,116.29,Huilai Hotel
248,Honolulu,US,78.8,few clouds,21.31,-157.86,Aston at the Executive Centre Hotel
